,Short RDate FY,Utility Type,Bname,Fiscal Year,bldg sqft,MTCO2,kg CO2 / sq ft
,FY 17,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2017,78278,5.318328,0.068
,FY 17,Natural Gas,BAHNA WRESTLING  CENTER,2017,22072,0.7412,0.034
,FY 17,Natural Gas,SCHEMBECHLER GLENN E HALL,2017,85526,1.5406605,0.018
,FY 17,Natural Gas,SCHEMBECHLER GLENN E HALL,2017,85526,3.0818115,0.036
,FY 17,Natural Gas,CRISLER ARENA,2017,264041,0.94285,0.004
,FY 17,Natural Gas,WEISFELD FAMILY GOLF CENTER,2017,11307,0.0109,0.001
,FY 17,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2017,89026,0.4905,0.006
,FY 17,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2017,45356,11.2052,0.247
,FY 17,Natural Gas,MICHIGAN STADIUM COMPLEX,2017,570265,14.6605,0.026
,FY 17,Natural Gas,FIELD HOCKEY COMPLEX,2017,14683,1.2099,0.082
,FY 19,Natural Gas,SCHEMBECHLER GLENN E HALL,2019,90891,43.927545,0.483
,FY 19,Natural Gas,SCHEMBECHLER GLENN E HALL,2019,90891,21.960448,0.242
,FY 19,Natural Gas,WEISFELD FAMILY GOLF CENTER,2019,11307,2.18,0.193
,FY 19,Natural Gas,BAHNA WRESTLING  CENTER,2019,22072,4.92244,0.223
,FY 19,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2019,89026,10.20785,0.115
,FY 19,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2019,17382,6.396665,0.368
,FY 19,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2019,45356,29.57279,0.652
,FY 19,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2019,22837,9.1778,0.402
,FY 19,Natural Gas,MICHIGAN STADIUM COMPLEX,2019,570377,127.7589,0.224
,FY 19,Natural Gas,FISHER RAY BASEBALL STADIUM,2019,30275,14.26265,0.471
,FY 19,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2019,89001,75.806557,0.852
,FY 19,Natural Gas,FIELD HOCKEY COMPLEX,2019,14683,6.93785,0.473
,FY 19,Natural Gas,CRISLER ARENA,2019,264016,2.398,0.009
,FY 20,Natural Gas,MICHIGAN STADIUM COMPLEX,2020,570378,124.7941,0.219
,FY 20,Natural Gas,BAHNA WRESTLING  CENTER,2020,22072,12.64945,0.573
,FY 20,Natural Gas,FISHER RAY BASEBALL STADIUM,2020,30275,15.45075,0.510
,FY 20,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2020,17382,6.08656,0.350
,FY 20,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2020,45356,2.86016,0.063
,FY 20,Natural Gas,CRISLER ARENA,2020,265276,2.9321,0.011
,FY 20,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2020,22837,9.57565,0.419
,FY 20,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2020,89001,90.1025065,1.012
,FY 20,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2020,89026,8.99795,0.101
,FY 20,Natural Gas,WEISFELD FAMILY GOLF CENTER,2020,11307,2.17455,0.192
,FY 20,Natural Gas,FIELD HOCKEY COMPLEX,2020,14683,13.1236,0.894
,FY 20,Natural Gas,SCHEMBECHLER GLENN E HALL,2020,90891,26.1018485,0.287
,FY 20,Natural Gas,SCHEMBECHLER GLENN E HALL,2020,90891,52.211545,0.574
,FY 16,Natural Gas,FIELD HOCKEY COMPLEX,2016,14683,1.1118,0.076
,FY 16,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2016,45356,8.99795,0.198
,FY 16,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2016,17382,0.3706,0.021
,FY 16,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2016,22837,0.52865,0.023
,FY 16,Natural Gas,CRISLER ARENA,2016,264041,0.96465,0.004
,FY 16,Natural Gas,WEISFELD FAMILY GOLF CENTER,2016,11307,0.00545,0.000
,FY 16,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2016,78278,7.461377,0.095
,FY 16,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2016,89026,0.5014,0.006
,FY 16,Natural Gas,BAHNA WRESTLING  CENTER,2016,22072,1.7767,0.080
,FY 16,Natural Gas,MICHIGAN STADIUM COMPLEX,2016,570265,6.1367,0.011
,FY 16,Natural Gas,SCHEMBECHLER GLENN E HALL,2016,85526,2.1615245,0.025
,FY 16,Natural Gas,SCHEMBECHLER GLENN E HALL,2016,85526,4.3236485,0.051
,FY 16,Natural Gas,FISHER RAY BASEBALL STADIUM,2016,30167,0.2507,0.008
,FY 10,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2010,22837,2.2563,0.099
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,102.0022,0.664
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,9.00885,0.059
,FY 10,Natural Gas,BAHNA WRESTLING  CENTER,2010,0,0.05995,#DIV/0!
,FY 10,Natural Gas,BAHNA WRESTLING  CENTER,2010,0,-0.05995,#DIV/0!
,FY 10,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2010,45356,22.2251,0.490
,FY 10,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2010,88863,3.71145,0.042
,FY 10,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2010,76247,37.411961,0.491
,FY 10,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2010,76247,6.263031,0.082
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,10.8379245,0.155
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,1.8143595,0.026
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,21.6790645,0.311
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,3.6292095,0.052
,FY 10,Natural Gas,FISHER RAY BASEBALL STADIUM,2010,11556,10.3114,0.892
,FY 13,Natural Gas,SCHEMBECHLER GLENN E HALL,2013,77187,64.1501515,0.831
,FY 13,Natural Gas,SCHEMBECHLER GLENN E HALL,2013,77187,32.0702525,0.415
,FY 13,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2013,88863,18.4101,0.207
,FY 13,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2013,17382,7.00325,0.403
,FY 13,Natural Gas,WEISFELD FAMILY GOLF CENTER,2013,11307,2.16365,0.191
,FY 13,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2013,22837,12.10445,0.530
,FY 13,Natural Gas,BAHNA WRESTLING  CENTER,2013,22072,5.4936,0.249
,FY 13,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2013,45356,28.53075,0.629
,FY 13,Natural Gas,FISHER RAY BASEBALL STADIUM,2013,30167,21.0806,0.699
,FY 13,Natural Gas,CRISLER ARENA,2013,201311,3.0302,0.015
,FY 13,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2013,78402,110.705196,1.412
,FY 13,Natural Gas,MICHIGAN STADIUM COMPLEX,2013,153630,170.1817,1.108
,FY 14,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2014,17382,3.02475,0.174
,FY 14,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2014,22837,6.1476,0.269
,FY 14,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2014,88863,10.34955,0.116
,FY 14,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2014,45356,21.30405,0.470
,FY 14,Natural Gas,BAHNA WRESTLING  CENTER,2014,22072,3.24275,0.147
,FY 14,Natural Gas,MICHIGAN STADIUM COMPLEX,2014,570265,67.0677,0.118
,FY 14,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2014,78402,62.9860315,0.803
,FY 14,Natural Gas,WEISFELD FAMILY GOLF CENTER,2014,11307,0.83385,0.074
,FY 14,Natural Gas,CRISLER ARENA,2014,264041,2.92665,0.011
,FY 14,Natural Gas,SCHEMBECHLER GLENN E HALL,2014,85525,36.4983775,0.427
,FY 14,Natural Gas,SCHEMBECHLER GLENN E HALL,2014,85525,18.246491,0.213
,FY 14,Natural Gas,FISHER RAY BASEBALL STADIUM,2014,30167,14.29535,0.474
,FY 14,Natural Gas,FIELD HOCKEY COMPLEX,2014,0,12.5132,#DIV/0!
,FY 20,Natural Gas,MICHIGAN STADIUM COMPLEX,2020,570378,128.33115,0.225
,FY 20,Natural Gas,BAHNA WRESTLING  CENTER,2020,22072,5.26034,0.238
,FY 20,Natural Gas,FISHER RAY BASEBALL STADIUM,2020,30275,15.8159,0.522
,FY 20,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2020,17382,3.81391,0.219
,FY 20,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2020,45356,31.88468,0.703
,FY 20,Natural Gas,CRISLER ARENA,2020,265276,2.6269,0.010
,FY 20,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2020,22837,8.85625,0.388
,FY 20,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2020,89001,93.324383,1.049
,FY 20,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2020,89026,12.2734,0.138
,FY 20,Natural Gas,WEISFELD FAMILY GOLF CENTER,2020,11307,2.6378,0.233
,FY 20,Natural Gas,FIELD HOCKEY COMPLEX,2020,14683,7.05775,0.481
,FY 20,Natural Gas,SCHEMBECHLER GLENN E HALL,2020,90891,54.0785515,0.595
,FY 20,Natural Gas,SCHEMBECHLER GLENN E HALL,2020,90891,27.0352155,0.297
,FY 10,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2010,22837,0.3379,0.015
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,0.49595,0.003
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,0.0763,0.000
,FY 10,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2010,45356,17.4182,0.384
,FY 10,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2010,88863,1.0246,0.012
,FY 10,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2010,76247,2.5833545,0.034
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,0.748394,0.011
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,1.4969515,0.021
,FY 10,Natural Gas,FISHER RAY BASEBALL STADIUM,2010,11556,3.2482,0.281
,FY 17,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2017,17382,3.97305,0.229
,FY 17,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2017,22837,5.7116,0.250
,FY 17,Natural Gas,FISHER RAY BASEBALL STADIUM,2017,30167,6.44735,0.214
,FY 17,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2017,78278,49.6406165,0.634
,FY 17,Natural Gas,BAHNA WRESTLING  CENTER,2017,22072,2.47975,0.112
,FY 17,Natural Gas,SCHEMBECHLER GLENN E HALL,2017,85526,14.3804245,0.168
,FY 17,Natural Gas,SCHEMBECHLER GLENN E HALL,2017,85526,28.765209,0.336
,FY 17,Natural Gas,CRISLER ARENA,2017,264041,2.0601,0.008
,FY 17,Natural Gas,WEISFELD FAMILY GOLF CENTER,2017,11307,0.50685,0.045
,FY 17,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2017,89026,3.6079,0.041
,FY 17,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2017,45356,19.6745,0.434
,FY 17,Natural Gas,MICHIGAN STADIUM COMPLEX,2017,570265,70.9372,0.124
,FY 17,Natural Gas,FIELD HOCKEY COMPLEX,2017,14683,4.64885,0.317
,FY 10,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2010,22837,17.0912,0.748
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,287.29675,1.870
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,6.32745,0.041
,FY 10,Natural Gas,BAHNA WRESTLING  CENTER,2010,0,-17.34735,#DIV/0!
,FY 10,Natural Gas,BAHNA WRESTLING  CENTER,2010,0,17.34735,#DIV/0!
,FY 10,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2010,45356,29.16295,0.643
,FY 10,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2010,88863,24.79205,0.279
,FY 10,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2010,76247,99.7448645,1.308
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,28.8951915,0.414
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,57.798994,0.829
,FY 10,Natural Gas,FISHER RAY BASEBALL STADIUM,2010,11556,24.47595,2.118
,FY 07,Natural Gas,MICHIGAN STADIUM COMPLEX,2007,153630,61.32885,0.399
,FY 07,Natural Gas,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2007,14149,0,0.000
,FY 07,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2007,45356,21.9962,0.485
,FY 07,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2007,88863,27.46255,0.309
,FY 07,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2007,22837,16.5026,0.723
,FY 10,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2010,22837,13.08545,0.573
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,263.453,1.715
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,5.5699,0.036
,FY 10,Natural Gas,BAHNA WRESTLING  CENTER,2010,0,19.94155,#DIV/0!
,FY 10,Natural Gas,BAHNA WRESTLING  CENTER,2010,0,-19.94155,#DIV/0!
,FY 10,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2010,45356,25.33705,0.559
,FY 10,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2010,88863,18.43735,0.207
,FY 10,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2010,76247,87.516209,1.148
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,25.352637,0.364
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,50.712904,0.727
,FY 10,Natural Gas,FISHER RAY BASEBALL STADIUM,2010,11556,25.7349,2.227
,FY 10,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2010,22837,7.95155,0.348
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,345.0286,2.246
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,5.2974,0.034
,FY 10,Natural Gas,BAHNA WRESTLING  CENTER,2010,0,5.78245,#DIV/0!
,FY 10,Natural Gas,BAHNA WRESTLING  CENTER,2010,0,-5.78245,#DIV/0!
,FY 10,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2010,45356,31.501,0.695
,FY 10,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2010,88863,12.63855,0.142
,FY 10,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2010,76247,110.0666195,1.444
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,31.8852795,0.457
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,63.780151,0.915
,FY 10,Natural Gas,FISHER RAY BASEBALL STADIUM,2010,11556,20.3067,1.757
,FY 21,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2021,45356,6.01462,0.133
,FY 21,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2021,22837,0.72485,0.032
,FY 21,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2021,89001,3.8546215,0.043
,FY 21,Natural Gas,FISHER RAY BASEBALL STADIUM,2021,30275,0.5232,0.017
,FY 21,Natural Gas,BAHNA WRESTLING  CENTER,2021,22072,1.308,0.059
,FY 21,Natural Gas,SCHEMBECHLER GLENN E HALL,2021,90891,1.1166505,0.012
,FY 21,Natural Gas,SCHEMBECHLER GLENN E HALL,2021,90891,2.233628,0.025
,FY 21,Natural Gas,CRISLER ARENA,2021,265276,0.6322,0.002
,FY 21,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2021,89026,1.37885,0.015
,FY 21,Natural Gas,FIELD HOCKEY COMPLEX,2021,14683,1.09545,0.075
,FY 21,Natural Gas,WEISFELD FAMILY GOLF CENTER,2021,11307,0.08175,0.007
,FY 21,Natural Gas,MICHIGAN STADIUM COMPLEX,2021,570378,0.1635,0.000
,FY 21,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2021,17382,0.371145,0.021
,FY 13,Natural Gas,SCHEMBECHLER GLENN E HALL,2013,77187,4.1650535,0.054
,FY 13,Natural Gas,SCHEMBECHLER GLENN E HALL,2013,77187,8.3313605,0.108
,FY 13,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2013,88863,3.21005,0.036
,FY 13,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2013,17382,1.3625,0.078
,FY 13,Natural Gas,WEISFELD FAMILY GOLF CENTER,2013,11307,0.02725,0.002
,FY 13,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2013,22837,1.5805,0.069
,FY 13,Natural Gas,BAHNA WRESTLING  CENTER,2013,22072,3.09015,0.140
,FY 13,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2013,45356,14.16455,0.312
,FY 13,Natural Gas,FISHER RAY BASEBALL STADIUM,2013,30167,5.2974,0.176
,FY 13,Natural Gas,CRISLER ARENA,2013,201311,2.50155,0.012
,FY 13,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2013,78402,14.377536,0.183
,FY 13,Natural Gas,MICHIGAN STADIUM COMPLEX,2013,153630,21.24955,0.138
,FY 14,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2014,17382,0.28885,0.017
,FY 14,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2014,22837,0.5559,0.024
,FY 14,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2014,88863,0.53955,0.006
,FY 14,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2014,45356,11.07985,0.244
,FY 14,Natural Gas,BAHNA WRESTLING  CENTER,2014,22072,0.92105,0.042
,FY 14,Natural Gas,MICHIGAN STADIUM COMPLEX,2014,570265,6.77435,0.012
,FY 14,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2014,78402,4.770167,0.061
,FY 14,Natural Gas,WEISFELD FAMILY GOLF CENTER,2014,11307,0.00545,0.000
,FY 14,Natural Gas,CRISLER ARENA,2014,264041,1.67315,0.006
,FY 14,Natural Gas,SCHEMBECHLER GLENN E HALL,2014,85525,1.3818475,0.016
,FY 14,Natural Gas,SCHEMBECHLER GLENN E HALL,2014,85525,2.7641855,0.032
,FY 14,Natural Gas,FISHER RAY BASEBALL STADIUM,2014,30167,2.93755,0.097
,FY 14,Natural Gas,FIELD HOCKEY COMPLEX,2014,0,0,#DIV/0!
,FY 16,Natural Gas,FIELD HOCKEY COMPLEX,2016,14683,1.86935,0.127
,FY 16,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2016,45356,9.57565,0.211
,FY 16,Natural Gas,INTERCOLLEGIATE SOCCER STADIUM,2016,17382,1.32435,0.076
,FY 16,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2016,22837,1.84755,0.081
,FY 16,Natural Gas,CRISLER ARENA,2016,264041,1.55325,0.006
,FY 16,Natural Gas,WEISFELD FAMILY GOLF CENTER,2016,11307,0.10355,0.009
,FY 16,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2016,78278,16.7859455,0.214
,FY 16,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2016,89026,1.06275,0.012
,FY 16,Natural Gas,BAHNA WRESTLING  CENTER,2016,22072,1.56415,0.071
,FY 16,Natural Gas,MICHIGAN STADIUM COMPLEX,2016,570265,23.17885,0.041
,FY 16,Natural Gas,SCHEMBECHLER GLENN E HALL,2016,85526,4.8627625,0.057
,FY 16,Natural Gas,SCHEMBECHLER GLENN E HALL,2016,85526,9.726942,0.114
,FY 16,Natural Gas,FISHER RAY BASEBALL STADIUM,2016,30167,1.79305,0.059
,FY 10,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2010,22837,0.39785,0.017
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,0.218,0.001
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,11.0744,0.072
,FY 10,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2010,45356,18.35015,0.405
,FY 10,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2010,88863,0.8066,0.009
,FY 10,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2010,76247,9.901887,0.130
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,2.8684985,0.041
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,5.7378145,0.082
,FY 10,Natural Gas,FISHER RAY BASEBALL STADIUM,2010,11556,5.79335,0.501
,FY 07,Natural Gas,FISHER RAY BASEBALL STADIUM,2007,11556,7.26485,0.629
,FY 07,Natural Gas,MICHIGAN STADIUM COMPLEX,2007,153630,7.55915,0.049
,FY 07,Natural Gas,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2007,14149,0.16895,0.012
,FY 07,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2007,45356,10.37135,0.229
,FY 07,Natural Gas,SCHEMBECHLER GLENN E HALL,2007,69698,1.552487,0.022
,FY 07,Natural Gas,SCHEMBECHLER GLENN E HALL,2007,69698,3.1054645,0.045
,FY 07,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2007,76247,5.3591485,0.070
,FY 07,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2007,88863,0.65945,0.007
,FY 07,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2007,22837,0.19075,0.008
,FY 10,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2010,22837,8.19135,0.359
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,3.7714,0.025
,FY 10,Natural Gas,MICHIGAN STADIUM COMPLEX,2010,153630,178.16595,1.160
,FY 10,Natural Gas,BAHNA WRESTLING  CENTER,2010,0,13.73945,#DIV/0!
,FY 10,Natural Gas,BAHNA WRESTLING  CENTER,2010,0,-13.73945,#DIV/0!
,FY 10,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2010,45356,22.8355,0.503
,FY 10,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2010,88863,13.59775,0.153
,FY 10,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2010,76247,60.376408,0.792
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,34.9862205,0.502
,FY 10,Natural Gas,SCHEMBECHLER GLENN E HALL,2010,69711,17.4905215,0.251
,FY 10,Natural Gas,FISHER RAY BASEBALL STADIUM,2010,11556,18.69895,1.618
,FY 07,Natural Gas,MICHIGAN STADIUM COMPLEX,2007,153630,36.13895,0.235
,FY 07,Natural Gas,HARTWIG MARIE DOROTHY ADMINISTRATION BUILDING,2007,14149,0,0.000
,FY 07,Natural Gas,ROSS STEPHEN M ACADEMIC CENTER,2007,45356,13.97925,0.308
,FY 07,Natural Gas,SCHEMBECHLER GLENN E HALL,2007,69698,19.812058,0.284
,FY 07,Natural Gas,SCHEMBECHLER GLENN E HALL,2007,69698,9.9045575,0.142
,FY 07,Natural Gas,OOSTERBAAN BENNIE FIELD HOUSE,2007,76247,34.1900845,0.448
,FY 07,Natural Gas,TISCH PRESTON ROBERT TENNIS BLDG,2007,88863,11.6412,0.131
,FY 07,Natural Gas,SHEPHERD WOMENS GYMNASTIC,2007,22837,7.46105,0.327
,FY 20,Natural Gas,MICHIGAN STADIUM COMPLEX,2020,570378,10.9109,0.019
